Outlier,comment_count,down_votes,post_id,reputation,score,up_votes,user_id,view_count,views
views,1,78,37416747,26819,0,894,1033686,16,1724
views,0,121,37557754,32089,0,1355,138578,13,4762
views,0,121,37570473,32089,0,1355,138578,5,4762
views,0,100,31383988,31303,0,1142,153422,12,2885
views,0,273,36547904,33337,0,943,253468,18,2891
views,0,1219,37597650,4249,0,762,6375113,11,3036
views,5,242,28725286,39423,0,2998,199700,17,6794
views,1,242,29592171,39423,1,2998,199700,16,6794
views,1,50,35550853,34643,1,593,5975,10,2076
views,2,39,22982377,8125,0,197,69346,13,1008
views,2,461,37642104,187688,4,3899,324584,18,27257
views,2,7,36131376,31110,0,401,478144,18,2954
views,0,7,36845567,31110,0,401,478144,14,2954
views,0,54,34311835,25234,0,455,188414,15,1460
views,0,1189,37208635,23259,0,3125,487813,12,2940
views,1,97,25306834,29043,1,625,898289,12,1786
views,0,44,33986822,21503,0,564,98422,16,1740
views,0,64,37705301,26073,0,6737,730807,5,3088
views,1,10,31927569,52647,0,117,32484,19,3139
views,0,11,33688028,8989,0,2596,1000,14,2270
views,0,50,36691114,27417,1,971,436028,19,2815
views,2,437,37699630,36326,0,1600,3049628,10,4245
views,2,8,37331001,33369,0,2050,296446,17,1609
views,0,449,36053989,39904,0,4829,1011724,15,4149
views,0,26,33011717,11425,0,2805,27756,11,4847
views,0,26,37730040,11425,0,2805,27756,18,4847
views,1,26,35314969,11425,0,2805,27756,9,4847
views,0,26,26670652,11425,1,2805,27756,18,4847
views,0,26,35172793,11425,0,2805,27756,15,4847
views,0,26,37588791,11425,0,2805,27756,6,4847
views,0,26,37111914,11425,0,2805,27756,13,4847
views,0,26,24905100,11425,0,2805,27756,19,4847
views,0,1940,34789185,26569,0,1138,477127,17,3273
views,1,80,36517808,17916,1,421,87739,16,1046
views,0,730,35397328,79076,0,2571,102441,17,6176
views,2,730,35566927,79076,0,2571,102441,13,6176
views,0,730,36923309,79076,0,2571,102441,14,6176
views,0,730,35873641,79076,1,2571,102441,19,6176
views,2,2,35035512,4826,0,2835,678834,15,1304
